epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,3685.01,0.55152,0.41156,0.89113,0.99866,1,0.995,0.9118,0.36736,0.31364,0.82331,0.000713,0.000713,0.000713
67,3740.59,0.58371,0.4305,0.88771,0.9987,1,0.995,0.93616,0.36751,0.30633,0.81706,0.0006932,0.0006932,0.0006932
68,3796.45,0.54962,0.4016,0.9029,0.9987,1,0.995,0.95672,0.29637,0.27736,0.80606,0.0006734,0.0006734,0.0006734
69,3850.59,0.49564,0.40189,0.87986,0.99869,1,0.995,0.9701,0.31211,0.27216,0.80121,0.0006536,0.0006536,0.0006536
70,3912.75,0.50908,0.39239,0.87887,0.99872,1,0.995,0.97385,0.31399,0.27767,0.80802,0.0006338,0.0006338,0.0006338
71,3974.64,0.51559,0.39947,0.88352,0.99844,1,0.995,0.95149,0.31743,0.29455,0.80929,0.000614,0.000614,0.000614
72,4034.52,0.48875,0.37398,0.86657,0.99448,1,0.995,0.9317,0.44989,0.3498,0.89274,0.0005942,0.0005942,0.0005942
73,4091.95,0.51043,0.40102,0.90113,0.99795,1,0.995,0.94108,0.42061,0.33289,0.86495,0.0005744,0.0005744,0.0005744
74,4145.54,0.49255,0.37865,0.87933,0.99802,1,0.995,0.91518,0.49521,0.33879,0.88159,0.0005546,0.0005546,0.0005546
75,4203.26,0.455,0.36195,0.86551,0.99862,1,0.995,0.92301,0.43148,0.29211,0.86431,0.0005348,0.0005348,0.0005348
76,4255.25,0.46569,0.37089,0.86419,0.99868,1,0.995,0.92415,0.40493,0.29849,0.83252,0.000515,0.000515,0.000515
77,4310.7,0.46717,0.35311,0.90074,0.99847,1,0.995,0.94203,0.34552,0.27422,0.80979,0.0004952,0.0004952,0.0004952
78,4363.41,0.44189,0.35053,0.86279,0.99859,1,0.995,0.97778,0.27037,0.25647,0.78774,0.0004754,0.0004754,0.0004754
79,4419.2,0.44626,0.36458,0.88102,0.99867,1,0.995,0.97903,0.26801,0.24863,0.78243,0.0004556,0.0004556,0.0004556
80,4480.19,0.45437,0.373,0.89195,0.9987,1,0.995,0.94354,0.31261,0.27023,0.78446,0.0004358,0.0004358,0.0004358
81,4533.44,0.5173,0.40979,0.89087,0.99869,1,0.995,0.98132,0.27363,0.24658,0.78715,0.000416,0.000416,0.000416
82,4587,0.41591,0.33406,0.86034,0.99852,1,0.995,0.96224,0.28393,0.25876,0.8045,0.0003962,0.0003962,0.0003962
83,4642.26,0.46669,0.36657,0.87825,0.9987,1,0.995,0.95591,0.29126,0.24488,0.79153,0.0003764,0.0003764,0.0003764
84,4707.6,0.43671,0.33964,0.86189,0.99871,1,0.995,0.97813,0.24642,0.23325,0.7845,0.0003566,0.0003566,0.0003566
85,4761.04,0.41661,0.33977,0.85498,0.99873,1,0.995,0.98555,0.23228,0.2335,0.78706,0.0003368,0.0003368,0.0003368
86,4819.54,0.42743,0.34252,0.83913,0.99872,1,0.995,0.97253,0.24343,0.23667,0.78687,0.000317,0.000317,0.000317
87,4880.05,0.42899,0.34733,0.86886,0.99854,1,0.995,0.9481,0.29824,0.253,0.79574,0.0002972,0.0002972,0.0002972
88,4946.68,0.47166,0.37756,0.90437,0.9987,1,0.995,0.96115,0.27294,0.25484,0.78381,0.0002774,0.0002774,0.0002774
89,5003.52,0.41664,0.32044,0.87493,0.9987,1,0.995,0.97588,0.26317,0.23967,0.79392,0.0002576,0.0002576,0.0002576
90,5057.25,0.42778,0.33491,0.86728,0.99841,1,0.995,0.98012,0.26557,0.22769,0.80413,0.0002378,0.0002378,0.0002378
91,5114.91,0.30553,0.25858,0.80994,0.99872,1,0.995,0.98508,0.2298,0.22303,0.78401,0.000218,0.000218,0.000218
92,5167.74,0.29415,0.26024,0.83643,0.99873,1,0.995,0.98887,0.22694,0.21751,0.78299,0.0001982,0.0001982,0.0001982
93,5227,0.29616,0.25059,0.84597,0.99875,1,0.995,0.9847,0.22165,0.21242,0.78223,0.0001784,0.0001784,0.0001784
94,5284.87,0.27575,0.24047,0.79785,0.99873,1,0.995,0.98806,0.23701,0.21513,0.78105,0.0001586,0.0001586,0.0001586
95,5342.83,0.30094,0.23564,0.82911,0.99874,1,0.995,0.98196,0.22792,0.20959,0.77679,0.0001388,0.0001388,0.0001388
96,5410.12,0.26047,0.23277,0.78659,0.99874,1,0.995,0.98913,0.20595,0.21795,0.77367,0.000119,0.000119,0.000119
97,5463.97,0.26872,0.23221,0.82015,0.99875,1,0.995,0.98706,0.22015,0.21237,0.77785,9.92e-05,9.92e-05,9.92e-05
98,5520.61,0.26216,0.23378,0.80616,0.99874,1,0.995,0.99329,0.20304,0.20294,0.77188,7.94e-05,7.94e-05,7.94e-05
99,5578.74,0.25023,0.22273,0.80397,0.99876,1,0.995,0.98964,0.20282,0.20189,0.7735,5.96e-05,5.96e-05,5.96e-05
100,5632.47,0.25166,0.22586,0.81762,0.99875,1,0.995,0.99329,0.19283,0.19768,0.77316,3.98e-05,3.98e-05,3.98e-05
