epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,346.341,0.5972,0.44521,0.87013,0.99861,1,0.995,0.94243,0.37118,0.33846,0.80674,0.0006932,0.0006932,0.0006932
68,351.669,0.56514,0.4374,0.86209,0.99866,1,0.995,0.93478,0.38725,0.35668,0.80295,0.0006734,0.0006734,0.0006734
69,356.825,0.57772,0.43281,0.8662,1,1,0.995,0.96338,0.30795,0.3186,0.79849,0.0006536,0.0006536,0.0006536
70,362.41,0.57788,0.42512,0.86358,1,1,0.995,0.90669,0.42355,0.34861,0.8008,0.0006338,0.0006338,0.0006338
71,367.587,0.5609,0.42298,0.85457,0.99866,1,0.995,0.92283,0.38819,0.35829,0.80149,0.000614,0.000614,0.000614
72,372.763,0.53279,0.40977,0.84725,0.99866,1,0.995,0.92359,0.40638,0.35201,0.81246,0.0005942,0.0005942,0.0005942
73,378.031,0.56424,0.43598,0.88326,0.99865,1,0.995,0.9352,0.35826,0.31987,0.79878,0.0005744,0.0005744,0.0005744
74,383.324,0.55293,0.42002,0.86297,0.99865,1,0.995,0.95214,0.32035,0.31291,0.80663,0.0005546,0.0005546,0.0005546
75,388.558,0.55257,0.41989,0.87645,0.99865,1,0.995,0.95734,0.33255,0.31383,0.80449,0.0005348,0.0005348,0.0005348
76,393.779,0.56362,0.41937,0.86059,1,1,0.995,0.96138,0.3082,0.31057,0.79401,0.000515,0.000515,0.000515
77,399.063,0.54749,0.41234,0.891,1,1,0.995,0.9178,0.42153,0.3248,0.8077,0.0004952,0.0004952,0.0004952
78,404.381,0.47405,0.38343,0.8347,0.99864,1,0.995,0.9425,0.39008,0.35308,0.81639,0.0004754,0.0004754,0.0004754
79,409.624,0.50013,0.39306,0.86904,0.99752,1,0.995,0.90569,0.4968,0.43207,0.844,0.0004556,0.0004556,0.0004556
80,414.954,0.50694,0.3998,0.86027,0.99863,1,0.995,0.92299,0.4556,0.35063,0.81295,0.0004358,0.0004358,0.0004358
81,420.225,0.49426,0.39334,0.85903,0.99869,1,0.995,0.94827,0.36077,0.32082,0.79472,0.000416,0.000416,0.000416
82,425.699,0.43027,0.36502,0.84296,0.99868,1,0.995,0.98295,0.26548,0.27564,0.78801,0.0003962,0.0003962,0.0003962
83,431.163,0.48803,0.38857,0.86791,0.99868,1,0.995,0.97731,0.25066,0.28962,0.78465,0.0003764,0.0003764,0.0003764
84,436.584,0.49818,0.3843,0.85495,0.99867,1,0.995,0.97066,0.27074,0.29261,0.78466,0.0003566,0.0003566,0.0003566
85,441.814,0.46683,0.37533,0.8403,0.9987,1,0.995,0.97694,0.2643,0.30151,0.78597,0.0003368,0.0003368,0.0003368
86,447.097,0.49137,0.37922,0.84418,0.99849,1,0.995,0.93531,0.37138,0.33061,0.79497,0.000317,0.000317,0.000317
87,452.384,0.49585,0.39311,0.8602,0.99858,1,0.995,0.94684,0.28237,0.30504,0.78403,0.0002972,0.0002972,0.0002972
88,457.753,0.5326,0.41246,0.881,0.99858,1,0.995,0.97662,0.26689,0.30301,0.78737,0.0002774,0.0002774,0.0002774
89,463.017,0.50035,0.38738,0.86109,0.99839,1,0.995,0.93434,0.35489,0.31776,0.79,0.0002576,0.0002576,0.0002576
90,468.477,0.51285,0.39823,0.87783,0.99855,1,0.995,0.98604,0.27462,0.29874,0.78398,0.0002378,0.0002378,0.0002378
91,473.993,0.37532,0.32851,0.8002,0.99868,1,0.995,0.97842,0.27558,0.30487,0.79033,0.000218,0.000218,0.000218
92,479.281,0.3566,0.30856,0.79337,0.99865,1,0.995,0.98154,0.27368,0.30372,0.78443,0.0001982,0.0001982,0.0001982
93,484.467,0.31179,0.29068,0.80513,0.99866,1,0.995,0.95176,0.29988,0.32211,0.78602,0.0001784,0.0001784,0.0001784
94,489.706,0.30817,0.28214,0.8006,0.99866,1,0.995,0.97127,0.26162,0.29334,0.7837,0.0001586,0.0001586,0.0001586
95,494.807,0.32913,0.30154,0.78464,0.99868,1,0.995,0.98408,0.23298,0.27654,0.78191,0.0001388,0.0001388,0.0001388
96,500.02,0.31059,0.28191,0.78071,0.99869,1,0.995,0.9842,0.21285,0.26452,0.78141,0.000119,0.000119,0.000119
97,505.2,0.29604,0.28047,0.7985,0.9987,1,0.995,0.98488,0.22378,0.26906,0.78004,9.92e-05,9.92e-05,9.92e-05
98,510.465,0.30413,0.28591,0.77857,0.9987,1,0.995,0.98463,0.25126,0.27226,0.78262,7.94e-05,7.94e-05,7.94e-05
99,515.61,0.28642,0.27591,0.78193,0.9987,1,0.995,0.97368,0.27471,0.27425,0.78242,5.96e-05,5.96e-05,5.96e-05
100,520.923,0.26246,0.26389,0.80002,0.99872,1,0.995,0.98269,0.23798,0.26433,0.78041,3.98e-05,3.98e-05,3.98e-05
